Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_HOMES
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,171,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,342,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,90,3
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,22,4
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,5,5
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,137,1
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,274,2
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,107,3
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,33,4
2022-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,10,5
2022-01-01,2,Eixample,5,el Fort Pienc,20,2001,166,1
2022-01-01,2,Eixample,5,el Fort Pienc,20,2001,243,2
2022-01-01,2,Eixample,5,el Fort Pienc,20,2001,98,3
2022-01-01,2,Eixample,5,el Fort Pienc,20,2001,38,4
2022-01-01,2,Eixample,5,el Fort Pienc,20,2001,17,5
2022-01-01,2,Eixample,5,el Fort Pienc,20,2002,211,1
2022-01-01,2,Eixample,5,el Fort Pienc,20,2002,334,2
2022-01-01,2,Eixample,5,el Fort Pienc,20,2002,136,3
2022-01-01,2,Eixample,5,el Fort Pienc,20,2002,42,4
2022-01-01,2,Eixample,5,el Fort Pienc,20,2002,17,5
2022-01-01,2,Eixample,5,el Fort Pienc,20,2003,109,1
2022-01-01,2,Eixample,5,el Fort Pienc,20,2003,207,2
2022-01-01,2,Eixample,5,el Fort Pienc,20,2003,87,3
2022-01-01,2,Eixample,5,el Fort Pienc,20,2003,24,4
2022-01-01,2,Eixample,5,el Fort Pienc,20,2003,2,5
2022-01-01,2,Eixample,5,el Fort Pienc,20,2004,131,1
2022-01-01,2,Eixample,5,el Fort Pienc,20,2004,229,2
2022-01-01,2,Eixample,5,el Fort Pienc,20,2004,135,3
