﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Població;Cens;Participació 13:00;Participació 18:00;Participació 20:00;Abstenció;Vots nuls;Vots en blanc;Vots a candidatures;Vots vàlids
17;Girona;3;Girona;34;Selva;17008;Anglès;5654;3561;996;1744;1997;1564;28;13;1956;1969
25;Lleida;4;Lleida;38;Urgell;25027;Anglesola;1365;971;319;513;569;402;6;6;557;563
25;Lleida;4;Lleida;18;Garrigues;25029;Arbeca;2126;1581;401;785;971;610;17;5;949;954
43;Tarragona;8;Penedès;12;Baix Penedès;43016;Arboç, l';5609;3457;906;1661;1871;1586;52;13;1806;1819
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43015;Arbolí;127;111;53;77;90;21;3;1;86;87
17;Girona;3;Girona;34;Selva;17009;Arbúcies;6608;4109;1041;2015;2442;1667;31;22;2389;2411
8;Barcelona;1;Barcelona;21;Maresme;08006;Arenys de Mar;15941;11821;2621;5040;6426;5395;89;48;6289;6337
8;Barcelona;1;Barcelona;21;Maresme;08007;Arenys de Munt;9121;6931;1443;3354;3925;3006;52;36;3837;3873
17;Girona;3;Girona;19;Garrotxa;17010;Argelaguer;396;330;99;179;210;120;2;4;204;208
8;Barcelona;8;Penedès;6;Anoia;08008;Argençola;219;177;64;108;117;60;1;3;113;116
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43017;Argentera, l';117;116;69;91;98;18;1;0;97;97
8;Barcelona;1;Barcelona;21;Maresme;08009;Argentona;12536;9652;2386;4712;5474;4178;62;45;5367;5412
